"ID","FSM","C1_Eng","C1_Mat","C2_Eng","C2_Mat","C3_Eng","C3_Mat","C1_Btotal","C2_Btotal","C3_Btotal","C1_AGtotal","C2_AGtotal","C3_AGtotal","C1_SCtotal","C2_SCtotal","C3_SCtotal","C1_LTtotal","C2_LTtotal","C3_LTtotal","C1_Ltotal","C2_Ltotal","C3_Ltotal"
1083,1,4,4,4,4,6,6,35,35,37,18,14,11,70,46,29,40,37,24,38,12,9
1084,2,5,5,5,5,6,6,32,33,32,20,19,17,61,43,38,40,40,13,19,8,7
1086,1,5,4,5,4,5,6,32,31,32,16,13,14,60,51,52,40,37,20,16,9,10
1087,1,5,5,5,5,6,6,32,34,39,20,18,20,50,50,46,40,40,24,16,14,10
1088,1,4,4,4,4,5,5,39,35,34,11,20,12,50,26,47,40,40,13,27,7,7
1089,1,5,5,5,5,6,6,39,37,36,20,18,12,84,74,34,40,40,19,20,10,8
1090,1,5,5,5,5,5,6,33,31,32,20,18,15,41,23,40,40,40,21,26,11,14
1091,2,4,4,4,4,4,6,38,36,36,14,14,20,78,56,34,37,40,15,22,17,14
1092,1,5,4,5,4,5,6,31,43,33,13,9,17,53,66,50,31,34,24,31,20,8
1093,1,5,4,5,4,6,6,39,33,43,8,11,10,133,73,50,34,31,22,24,11,14
1094,1,3,3,3,3,4,4,43,38,39,14,20,18,87,114,64,31,40,16,47,8,13
1095,1,4,5,4,5,6,6,30,33,33,14,16,15,40,64,42,40,40,20,24,13,8
1096,1,4,5,4,5,6,6,34,29,33,15,15,16,38,45,35,16,40,16,28,10,11
1097,1,4,5,4,5,5,6,28,32,29,16,17,16,96,48,63,34,40,24,20,13,13
1098,1,4,3,4,3,5,4,35,39,38,9,14,15,74,49,45,34,40,16,39,15,20
1099,1,5,4,5,4,6,6,35,31,36,16,16,16,76,45,46,40,40,15,34,8,12
1100,1,4,4,4,4,5,6,28,34,27,11,15,15,49,71,50,40,22,25,23,20,25
1101,1,4,4,4,4,6,5,34,37,36,18,17,14,81,73,36,34,37,18,22,8,12
1102,2,4,3,4,3,4,5,34,37,33,19,18,15,94,45,58,34,34,13,24,8,10
1103,1,3,4,3,4,4,5,34,35,34,16,18,16,52,33,33,28,40,24,28,11,15
1104,1,4,4,4,4,6,6,34,33,31,18,15,15,86,45,44,31,40,19,24,11,12
1105,1,3,4,3,4,5,4,37,40,32,15,20,14,82,86,43,19,40,21,18,8,9
1106,1,5,5,5,5,6,6,38,37,37,17,18,20,78,35,70,40,40,15,29,8,10
1107,1,4,5,4,5,6,6,38,28,33,18,18,17,67,30,37,28,40,20,17,10,9
1108,2,4,3,4,3,5,4,42,36,35,11,17,17,142,79,88,28,37,18,44,14,9
