"ID","Time","FSM","Eng","Mat","Btotal","AGtotal","SCtotal","LTtotal","Ltotal"
1092,3,1,5,6,0,17,50,24,8
1093,1,1,5,4,0,0,0,0,0
1093,2,1,0,0,0,11,73,0,11
1093,3,1,6,6,43,10,50,0,14
1094,1,1,3,3,0,0,0,0,0
1094,2,1,0,0,0,20,114,0,8
1094,3,1,4,4,39,18,64,16,13
1095,1,1,4,5,0,14,0,0,24
1095,2,1,0,0,33,16,64,0,13
1095,3,1,6,6,33,15,0,0,0
1096,1,1,4,5,0,0,0,0,0
1096,2,1,0,0,29,15,45,0,10
1096,3,1,6,6,33,16,0,16,11
1097,1,1,4,5,0,0,0,0,0
1097,2,1,0,0,32,17,48,0,13
1097,3,1,5,6,29,16,63,0,13
1099,1,1,5,4,35,16,76,0,34
1099,2,1,0,0,0,16,45,0,0
1099,3,1,6,6,36,16,46,15,12
1100,1,1,4,4,28,11,0,0,23
1100,2,1,0,0,34,15,71,0,20
1100,3,1,5,6,27,15,50,25,25
1101,1,1,4,4,0,0,0,0,0
1101,2,1,0,0,0,0,0,0,0
1101,3,1,0,0,0,0,0,0,0
1102,1,2,4,3,0,0,0,0,0
1102,2,2,0,0,0,18,0,0,8
1102,3,2,4,5,33,15,58,0,0
1103,1,1,3,4,0,0,0,0,0
1103,2,1,0,0,35,18,33,40,11
1103,3,1,4,5,34,16,33,24,15
1104,1,1,4,4,0,0,0,0,0
1104,2,1,0,0,33,15,45,0,11
1104,3,1,6,6,31,15,44,19,12
1105,1,1,3,4,37,15,82,0,18
1105,2,1,0,0,40,20,0,0,8
1105,3,1,5,4,32,14,43,21,9
1106,1,1,5,5,0,0,0,0,0
1106,2,1,0,0,37,18,35,0,8
1106,3,1,6,6,37,20,70,15,10
1107,1,1,4,5,0,0,0,0,0
1107,2,1,0,0,28,18,30,0,10
1107,3,1,6,6,33,17,37,20,9
1108,1,2,4,3,0,0,0,0,0
1108,2,2,0,0,36,17,79,0,14
1108,3,2,0,4,35,17,88,18,9
1109,1,1,4,4,0,0,0,0,0
1109,2,1,0,0,0,14,38,0,8
1109,3,1,5,5,31,15,27,14,7
1110,1,1,4,5,0,0,0,0,0
1110,2,1,0,0,0,16,0,0,21
1110,3,1,6,6,36,12,57,25,7
