,X,ID,C1_B1,C1_B2,C1_B5,C1_B10,C1_B11,C1_B12,C1_B13,C1_B14,C1_B15,C1_B16,C1_B17,C1_B18,C1_B19,C1_B20,C1_B21,C1_B22,C1_B23,C1_B24,C1_B25,C2_B1,C2_B2,C2_B5,C2_B10,C2_B11,C2_B12,C2_B13,C2_B14,C2_B15,C2_B16,C2_B17,C2_B18,C2_B19,C2_B20,C2_B21,C2_B22,C2_B23,C2_B24,C2_B25,C3_B1,C3_B2,C3_B5,C3_B10,C3_B11,C3_B12,C3_B13,C3_B14,C3_B15,C3_B16,C3_B17,C3_B18,C3_B19,C3_B20,C3_B21,C3_B22,C3_B23,C3_B24,C3_B25,C1_AG1,C1_AG2,C1_AG3,C1_AG4,C2_AG1,C2_AG2,C2_AG3,C2_AG4,C3_AG1,C3_AG2,C3_AG3,C3_AG4,FSM,C1_SConcern1,C1_SConcern2,C1_SConcern3,C1_SConcern4,C1_SConcern5,C1_SConcern6,C1_SConcern7,C1_SConcern8,C1_SConcern9,C1_SConcern10,C1_SConcern11,C1_SConcern12,C1_SConcern13,C1_SConcern14,C1_SConcern15,C1_SConcern16,C1_SConcern17,C1_SConcern18,C1_SConcern19,C1_SConcern20,C2_SConcern1,C2_SConcern2,C2_SConcern3,C2_SConcern4,C2_SConcern5,C2_SConcern6,C2_SConcern7,C2_SConcern8,C2_SConcern9,C2_SConcern10,C2_SConcern11,C2_SConcern12,C2_SConcern13,C2_SConcern14,C2_SConcern15,C2_SConcern16,C2_SConcern17,C2_SConcern18,C2_SConcern19,C2_SConcern20,C3_SConcern1,C3_SConcern2,C3_SConcern3,C3_SConcern4,C3_SConcern5,C3_SConcern6,C3_SConcern7,C3_SConcern8,C3_SConcern9,C3_SConcern10,C3_SConcern11,C3_SConcern12,C3_SConcern13,C3_SConcern14,C3_SConcern15,C3_SConcern16,C3_SConcern17,C3_SConcern18,C3_SConcern19,C3_SConcern20,C2_SL1,C2_SL2,C2_SL3,C2_SL4,C2_SL5,C3_SL1,C3_SL2,C3_SL3,C3_SL4,C3_SL5,C1_LT1,C1_LT2,C1_LT3,C1_LT4,C1_LT5,C1_LT6,C1_LT7,C1_LT8,C1_LT9,C1_LT10,C2_LT1,C2_LT2,C2_LT3,C2_LT4,C2_LT5,C2_LT6,C2_LT7,C2_LT8,C2_LT9,C2_LT10,C3_LT1,C3_LT2,C3_LT3,C3_LT4,C3_LT5,C3_LT6,C3_LT7,C3_LT8,C3_LT9,C3_LT10,C1_L1,C1_L2,C1_L3,C1_L4,C1_L5,C1_L6,C1_L7,C1_L8,C1_L9,C1_L10,C1_L11,C1_L12,C1_L13,C1_L14,C1_L15,C2_L1,C2_L2,C2_L6,C2_L7,C2_L11,C2_L14,C2_L15,C3_L1,C3_L2,C3_L6,C3_L7,C3_L11,C3_L14,C3_L15,KS2MathstestNUM,KS2EnglishtestNUM,KS2EnglishTANUM,KS2EngComb
606,606,3067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Certainly true,Not true,Sort of true,Not true,Certainly true,NA,NA,NA,NA,Often,Always,Often,Often,Often,Often,Often,Often,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not at all worried,3,2,Not at all worried,2,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,7,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,3,I get extremely worried about it,Not at all worried,YES!!,NO!!,NO!!,YES!!,NO!!,yes,no,no,YES!!,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,No,YES!!,Yes,Yes,No,YES!!,Yes,YES!!,no,no,NO!!,YES!!,NA,yes,no,YES!!,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,True most of the time,True most of the time,Always true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,True most of the time,4,NA,3,3
607,607,3068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Sort of true,Sort of true,Sort of true,Certainly true,Not true,Not true,Certainly true,Not true,Sort of true,Certainly true,Not true,Not true,Sort of true,Certainly true,Not true,Sort of true,Not true,Sort of true,Certainly true,Sort of true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Sort of true,Certainly true,Not true,Not true,Sort of true,Certainly true,Not true,Not true,Not true,Certainly true,NA,NA,NA,NA,Often,Often,Always,Always,Often,Often,Often,Often,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not at all worried,3,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,4,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,2,Not at all worried,YES!!,NO!!,no,YES!!,NO!!,yes,no,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES!!,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,YES!!,YES!!,NO!!,yes,no,YES!!,NO!!,NO!!,NO!!,YES!!,YES!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,True most of the time,Always true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,5,NA,5,5
608,608,3069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Sort of true,Not true,Certainly true,Not true,Not true,Sort of true,Certainly true,Not true,Not true,Not true,Sort of true,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Certainly true,Not true,Not true,Sort of true,Certainly true,Not true,Not true,Not true,Sort of true,NA,NA,NA,NA,Always,Always,Often,Often,Often,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not at all worried,4,6,8,Not at all worried,Not at all worried,9,Not at all worried,Not at all worried,Not at all worried,3,Not at all worried,6,7,Not at all worried,Not at all worried,Not at all worried,7,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,8,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,4,5,Not at all worried,Not at all worried,Not at all worried,2,5,Not at all worried,yes,no,NO!!,yes,NO!!,yes,no,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,YES!!,Yes,NO!!,YES!!,Yes,Yes,YES!!,Yes,YES!!,NO!!,YES!!,no,YES!!,yes,YES!!,yes,YES!!,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Always true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Always true,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Always true,4,NA,4,4
609,609,3070,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Not true,Not true,Sort of true,Certainly true,Not true,Not true,Not true,Sort of true,Not true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Sort of true,Certainly true,Not true,Not true,Sort of true,Sort of true,Not true,Not true,Not true,Not true,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Sort of true,Not true,Certainly true,Not true,Not true,Certainly true,Sort of true,Not true,Not true,Not true,Certainly true,Sometimes,Often,Often,Seldom,Sometimes,Sometimes,Always,Seldom,Sometimes,Often,Always,Often,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,5,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,YES!!,NO!!,NO!!,YES!!,NO!!,yes,NO!!,no,yes,NO!!,Yes,NO!!,Yes,NO!!,YES!!,No,YES!!,NO!!,YES!!,YES!!,Yes,NO!!,Yes,NO!!,Yes,NO!!,YES!!,No,YES!!,YES!!,yes,NO!!,no,no,YES!!,no,yes,NO!!,yes,YES!!,True most of the time,Not true at all,True most of the time,Not true at all,True most of the time,Not true at all,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Not true at all,Not true at all,True most of the time,Not true at all,Not true at all,Not true at all,True most of the time,Not true at all,Not true at all,True most of the time,True most of the time,Not true at all,Not true at all,Always true,Not true at all,Not true at all,True most of the time,5,NA,5,5
610,610,3071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4
611,611,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Sort of true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Not true,Sort of true,Certainly true,Not true,Not true,Sort of true,Certainly true,Not true,Sort of true,Sort of true,Certainly true,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Sort of true,Certainly true,Not true,Not true,Sort of true,Certainly true,Not true,Not true,Not true,Certainly true,NA,NA,NA,NA,Often,Always,Often,Sometimes,Sometimes,Often,Always,Always,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not at all worried,Not at all worried,6,Not at all worried,Not at all worried,2,4,Not at all worried,2,4,5,Not at all worried,4,Not at all worried,Not at all worried,Not at all worried,3,2,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,4,Not at all worried,Not at all worried,3,Not at all worried,Not at all worried,Not at all worried,Not at all worried,3,Not at all worried,YES!!,NO!!,no,yes,NO!!,YES!!,NO!!,no,yes,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,NO!!,Yes,No,YES!!,NO!!,Yes,Yes,yes,no,yes,no,yes,no,YES!!,NO!!,YES!!,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Always true,Hardly ever true,Not true at all,Always true,Not true at all,Not true at all,True most of the time,Always true,Not true at all,Not true at all,Always true,Hardly ever true,Not true at all,True most of the time,6,NA,5,5
612,612,3073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sort of true,Not true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Not true,Not true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Not true,Not true,Not true,Sort of true,Certainly true,Certainly true,Certainly true,Sort of true,Certainly true,Certainly true,Not true,Certainly true,Sort of true,Certainly true,Not true,Not true,Certainly true,Sort of true,Not true,Not true,Certainly true,Certainly true,NA,NA,NA,NA,Always,Always,Always,Sometimes,Always,Always,Always,Always,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I get extremely worried about it,I get extremely worried about it,Not at all worried,Not at all worried,I get extremely worried about it,Not at all worried,5,Not at all worried,Not at all worried,Not at all worried,I get extremely worried about it,Not at all worried,Not at all worried,I get extremely worried about it,5,Not at all worried,Not at all worried,I get extremely worried about it,I get extremely worried about it,5,5,Not at all worried,Not at all worried,5,I get extremely worried about it,Not at all worried,5,Not at all worried,Not at all worried,Not at all worried,I get extremely worried about it,Not at all worried,Not at all worried,I get extremely worried about it,5,Not at all worried,Not at all worried,I get extremely worried about it,5,Not at all worried,YES!!,NO!!,NO!!,NO!!,NO!!,YES!!,NO!!,NO!!,YES!!,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES!!,NO!!,YES!!,NO!!,YES!!,Yes,YES!!,NO!!,NO!!,YES!!,YES!!,NO!!,YES!!,NO!!,YES!!,yes,YES!!,yes,yes,YES!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Always true,Always true,Sometimes true,Sometimes true,Always true,Not true at all,Always true,Always true,Always true,N (below level 2 in test) or B (working below level of the test),NA,2,2
613,613,3074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Certainly true,NA,Sort of true,Certainly true,Sort of true,Not true,Certainly true,Sort of true,Not true,Certainly true,Sort of true,Not true,Sort of true,Sort of true,Not true,Sort of true,Not true,Sort of true,NA,NA,NA,NA,Never,Always,Always,Sometimes,Never,Often,Often,Always,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,yes,NO!!,NO!!,YES!!,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,YES!!,Yes,No,Yes,YES!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True most of the time,Not true at all,Not true at all,Always true,NA,Not true at all,True most of the time,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4
614,614,3075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Sort of true,Sort of true,Sort of true,Not true,Certainly true,Sort of true,Sort of true,Sort of true,Sort of true,Not true,Not true,Sort of true,Sort of true,NA,NA,NA,NA,NA,NA,NA,NA,Often,Seldom,Sometimes,Sometimes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Not at all worried,Not at all worried,Not at all worried,6,Not at all worried,7,Not at all worried,Not at all worried,4,2,2,4,2,Not at all worried,Not at all worried,Not at all worried,3,I get extremely worried about it,Not at all worried,NA,NA,NA,NA,NA,yes,no,NO!!,YES!!,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NO!!,yes,no,YES!!,no,yes,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True most of the time,Not true at all,Not true at all,Sometimes true,Sometimes true,Not true at all,Sometimes true,5,NA,4,4
615,615,3076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sort of true,Certainly true,Sort of true,Not true,Certainly true,Certainly true,Certainly true,Sort of true,Sort of true,Sort of true,Sort of true,Not true,Certainly true,Sort of true,Sort of true,Sort of true,Sort of true,Certainly true,Sort of true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seldom,Seldom,Sometimes,Seldom,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,NA,9,4,7,NA,4,6,6,NA,3,7,4,NA,8,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES!!,no,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,Yes,Yes,No,YES!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True most of the time,Not true at all,Sometimes true,Sometimes true,Sometimes true,Hardly ever true,True most of the time,NA,NA,NA,NA,NA,NA,NA,3,NA,4,4
616,616,3077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Certainly true,Sort of true,Certainly true,Certainly true,Sort of true,Not true,Sort of true,Not true,Certainly true,Certainly true,Sort of true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never,Never,Never,Never,Often,Seldom,Sometimes,Sometimes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not at all worried,I get extremely worried about it,Not at all worried,I get extremely worried about it,I get extremely worried about it,Not at all worried,I get extremely worried about it,Not at all worried,I get extremely worried about it,I get extremely worried about it,I get extremely worried about it,I get extremely worried about it,I get extremely worried about it,5,I get extremely worried about it,I get extremely worried about it,5,I get extremely worried about it,I get extremely worried about it,I get extremely worried about it,5,5,5,6,5,5,5,4,6,6,6,Not at all worried,Not at all worried,Not at all worried,Not at all worried,5,4,4,4,5,YES!!,NO!!,yes,YES!!,NO!!,no,NO!!,YES!!,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES!!,NA,Yes,NO!!,YES!!,Yes,Yes,NO!!,NO!!,Yes,yes,no,no,no,yes,no,yes,no,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes true,Always true,Hardly ever true,Always true,Not true at all,Always true,Sometimes true,Sometimes true,Not true at all,Not true at all,Sometimes true,Not true at all,Not true at all,Sometimes true,3,NA,3,3
617,617,3078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sort of true,Not true,Sort of true,Certainly true,Certainly true,Sort of true,Sort of true,Sort of true,Sort of true,Sort of true,Sort of true,Not true,Sort of true,Sort of true,Sort of true,Sort of true,Sort of true,Sort of true,Certainly true,Sort of true,Not true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Not true,Not true,Certainly true,Not true,Certainly true,Sort of true,Sort of true,Not true,Sort of true,Not true,Certainly true,NA,NA,NA,NA,Often,Often,Often,Often,Sometimes,Always,Always,Often,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not at all worried,9,9,9,8,5,I get extremely worried about it,4,Not at all worried,6,5,I get extremely worried about it,Not at all worried,I get extremely worried about it,5,4,Not at all worried,I get extremely worried about it,5,5,9,9,9,Not at all worried,5,3,3,Not at all worried,2,2,Not at all worried,Not at all worried,2,2,3,3,Not at all worried,5,6,3,YES!!,NO!!,NO!!,YES!!,NO!!,YES!!,NO!!,no,YES!!,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,YES!!,No,Yes,Yes,Yes,Yes,NO!!,No,No,yes,yes,no,no,yes,yes,YES!!,NO!!,YES!!,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes true,Sometimes true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,True most of the time,Hardly ever true,Not true at all,Sometimes true,Not true at all,Not true at all,Hardly ever true,5,NA,4,4
618,618,3079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Not true,Sort of true,Sort of true,Not true,Sort of true,Certainly true,Sort of true,NA,Not true,Not true,Certainly true,Certainly true,Not true,Sort of true,Sort of true,Certainly true,Not true,Sort of true,Sort of true,Not true,Not true,Certainly true,Sort of true,Sort of true,Certainly true,Sort of true,Not true,Not true,Not true,Certainly true,NA,NA,NA,NA,Often,Often,Often,Sometimes,Often,Sometimes,Always,Often,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,5,2,6,Not at all worried,8,Not at all worried,Not at all worried,6,Not at all worried,6,4,3,6,Not at all worried,6,7,I get extremely worried about it,Not at all worried,Not at all worried,4,Not at all worried,Not at all worried,5,Not at all worried,Not at all worried,Not at all worried,2,6,3,2,2,Not at all worried,4,Not at all worried,Not at all worried,6,7,Not at all worried,YES!!,NO!!,no,YES!!,NO!!,YES!!,NO!!,no,yes,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NO!!,Yes,NO!!,YES!!,NO!!,YES!!,NO!!,Yes,YES!!,yes,NO!!,yes,no,YES!!,NO!!,yes,no,yes,YES!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes true,Not true at all,Sometimes true,True most of the time,Sometimes true,Hardly ever true,Not true at all,True most of the time,Not true at all,Not true at all,True most of the time,Sometimes true,Not true at all,Sometimes true,4,NA,4,4
619,619,3080,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Not true,Certainly true,Sort of true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Not true,Not true,Sort of true,Sort of true,Not true,Sort of true,Not true,Certainly true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,Always,Always,Always,Sometimes,Often,Often,Always,NA,NA,NA,NA,No,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,2,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,3,3,2,Not at all worried,Not at all worried,Not at all worried,4,Not at all worried,Not at all worried,2,2,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,3,2,Not at all worried,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES!!,NO!!,NO!!,yes,NO!!,NA,NA,NA,NA,NA,Yes,No,Yes,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,YES!!,Yes,No,Yes,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,YES!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True most of the time,Not true at all,Always true,Not true at all,Always true,Not true at all,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Not true at all,Not true at all,Always true,True most of the time,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Always true,NA,NA,NA,NA,NA,NA,NA,6,NA,5,5
620,620,3081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Certainly true,Sort of true,Certainly true,Certainly true,Not true,Sort of true,Sort of true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Certainly true,Not true,Not true,Sort of true,Certainly true,Certainly true,Sort of true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Not true,Sort of true,Certainly true,Sort of true,Not true,Sort of true,Sort of true,Not true,Not true,Sort of true,Certainly true,NA,NA,NA,NA,Sometimes,Often,Often,Sometimes,Often,Always,Often,Often,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,2,Not at all worried,7,Not at all worried,I get extremely worried about it,Not at all worried,Not at all worried,4,9,Not at all worried,9,6,Not at all worried,Not at all worried,9,9,5,5,3,5,Not at all worried,3,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,4,2,3,Not at all worried,Not at all worried,Not at all worried,6,5,Not at all worried,YES!!,NO!!,no,YES!!,NO!!,YES!!,NO!!,no,YES!!,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,NO!!,Yes,Yes,Yes,NO!!,YES!!,Yes,yes,no,yes,no,yes,yes,YES!!,NO!!,YES!!,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes true,Not true at all,Not true at all,Always true,Sometimes true,Not true at all,Sometimes true,True most of the time,Not true at all,Not true at all,True most of the time,Not true at all,Not true at all,Sometimes true,5,NA,4,4
